text_id,original_text,entity_text,entity_type,description
1,Barack Obama was the 44th President of the United States and was born in Hawaii.,Barack Obama,PERSON,"People, including fictional"
1,Barack Obama was the 44th President of the United States and was born in Hawaii.,44th,ORDINAL,"""first"", ""second"", etc."
1,Barack Obama was the 44th President of the United States and was born in Hawaii.,the United States,GPE,"Countries, cities, states"
1,Barack Obama was the 44th President of the United States and was born in Hawaii.,Hawaii,GPE,"Countries, cities, states"
2,"Apple Inc. is a technology company based in Cupertino, California, founded by Steve Jobs.",Apple Inc.,ORG,"Companies, agencies, institutions, etc."
2,"Apple Inc. is a technology company based in Cupertino, California, founded by Steve Jobs.",Cupertino,GPE,"Countries, cities, states"
2,"Apple Inc. is a technology company based in Cupertino, California, founded by Steve Jobs.",California,GPE,"Countries, cities, states"
2,"Apple Inc. is a technology company based in Cupertino, California, founded by Steve Jobs.",Steve Jobs,PERSON,"People, including fictional"
3,"Sachin Tendulkar is a legendary cricket player from Mumbai, India.",Sachin Tendulkar,PERSON,"People, including fictional"
3,"Sachin Tendulkar is a legendary cricket player from Mumbai, India.",Mumbai,GPE,"Countries, cities, states"
3,"Sachin Tendulkar is a legendary cricket player from Mumbai, India.",India,GPE,"Countries, cities, states"
4,Microsoft Corporation was founded by Bill Gates and Paul Allen in 1975.,Microsoft Corporation,ORG,"Companies, agencies, institutions, etc."
4,Microsoft Corporation was founded by Bill Gates and Paul Allen in 1975.,Bill Gates,PERSON,"People, including fictional"
4,Microsoft Corporation was founded by Bill Gates and Paul Allen in 1975.,Paul Allen,PERSON,"People, including fictional"
4,Microsoft Corporation was founded by Bill Gates and Paul Allen in 1975.,1975,DATE,Absolute or relative dates or periods
5,"The Eiffel Tower is a famous landmark located in Paris, France.",The Eiffel Tower,LOC,"Non-GPE locations, mountain ranges, bodies of water"
5,"The Eiffel Tower is a famous landmark located in Paris, France.",Paris,GPE,"Countries, cities, states"
5,"The Eiffel Tower is a famous landmark located in Paris, France.",France,GPE,"Countries, cities, states"
6,Google was started by Larry Page and Sergey Brin at Stanford University.,Google,ORG,"Companies, agencies, institutions, etc."
6,Google was started by Larry Page and Sergey Brin at Stanford University.,Larry Page,PERSON,"People, including fictional"
6,Google was started by Larry Page and Sergey Brin at Stanford University.,Sergey Brin,PERSON,"People, including fictional"
6,Google was started by Larry Page and Sergey Brin at Stanford University.,Stanford University,ORG,"Companies, agencies, institutions, etc."
7,Lionel Messi plays football for Paris Saint-Germain and the Argentina national team.,Messi,PERSON,"People, including fictional"
7,Lionel Messi plays football for Paris Saint-Germain and the Argentina national team.,Paris Saint-Germain,FAC,"Buildings, airports, highways, bridges, etc."
7,Lionel Messi plays football for Paris Saint-Germain and the Argentina national team.,Argentina,GPE,"Countries, cities, states"
8,"Amazon.com was founded by Jeff Bezos in Seattle, Washington.",Amazon.com,ORG,"Companies, agencies, institutions, etc."
8,"Amazon.com was founded by Jeff Bezos in Seattle, Washington.",Jeff Bezos,PERSON,"People, including fictional"
8,"Amazon.com was founded by Jeff Bezos in Seattle, Washington.",Seattle,GPE,"Countries, cities, states"
8,"Amazon.com was founded by Jeff Bezos in Seattle, Washington.",Washington,GPE,"Countries, cities, states"
